CME_ID timestamp proton_flux_pfu
CME0001 2025-01-01T00:00:00Z 82.411
CME0001 2025-01-01T00:01:00Z 90.036
CME0001 2025-01-01T00:02:00Z 2.996
CME0001 2025-01-01T00:03:00Z 1.839
CME0001 2025-01-01T00:04:00Z 3.744
CME0001 2025-01-01T00:05:00Z 40.432
CME0001 2025-01-01T00:06:00Z 14.876
CME0001 2025-01-01T00:07:00Z 39.007
CME0001 2025-01-01T00:08:00Z 97.608
CME0001 2025-01-01T00:09:00Z 66.410
CME0002 2025-01-01T01:00:00Z 17.352
CME0002 2025-01-01T01:01:00Z 10.205
CME0002 2025-01-01T01:02:00Z 73.634
CME0002 2025-01-01T01:03:00Z 53.377
CME0002 2025-01-01T01:04:00Z 0.615
CME0002 2025-01-01T01:05:00Z 5.307
CME0002 2025-01-01T01:06:00Z 7.718
CME0002 2025-01-01T01:07:00Z 75.378
CME0002 2025-01-01T01:08:00Z 44.566
CME0002 2025-01-01T01:09:00Z 52.061
CME0003 2025-01-01T02:00:00Z 37.429
CME0003 2025-01-01T02:01:00Z 20.080
CME0003 2025-01-01T02:02:00Z 86.691
CME0003 2025-01-01T02:03:00Z 4.654
CME0003 2025-01-01T02:04:00Z 85.411
CME0003 2025-01-01T02:05:00Z 60.884
CME0003 2025-01-01T02:06:00Z 4.181
CME0003 2025-01-01T02:07:00Z 8.775
CME0003 2025-01-01T02:08:00Z 43.352
CME0003 2025-01-01T02:09:00Z 19.523
CME0004 2025-01-01T03:00:00Z 2.017
CME0004 2025-01-01T03:01:00Z 6.551
CME0004 2025-01-01T03:02:00Z 45.601
CME0004 2025-01-01T03:03:00Z 47.830
CME0004 2025-01-01T03:04:00Z 74.550
CME0004 2025-01-01T03:05:00Z 13.446
CME0004 2025-01-01T03:06:00Z 88.127
CME0004 2025-01-01T03:07:00Z 16.849
CME0004 2025-01-01T03:08:00Z 84.799
CME0004 2025-01-01T03:09:00Z 4.553
CME0005 2025-01-01T04:00:00Z 9.875
CME0005 2025-01-01T04:01:00Z 57.224
CME0005 2025-01-01T04:02:00Z 0.947
CME0005 2025-01-01T04:03:00Z 2.945
CME0005 2025-01-01T04:04:00Z 70.348
CME0005 2025-01-01T04:05:00Z 11.675
CME0005 2025-01-01T04:06:00Z 83.955
CME0005 2025-01-01T04:07:00Z 70.982
CME0005 2025-01-01T04:08:00Z 94.416
